cdo_nm,no_cm1,Em_solar_Wm2nm1,Em_surfaceW2m2nm1
589,16977.9286926995,1.624,1.1582
590,16949.1525423729,1.7218,1.2316
591,16920.4737732657,1.809,1.3171
592,16891.8918918919,1.788,1.29
593,16863.4064080944,1.792,1.3086
594,16835.0168350168,1.789,1.3029
595,16806.7226890756,1.778,1.287
596,16778.5234899329,1.796,1.326
597,16750.418760469,1.806,1.3303
598,16722.4080267559,1.772,1.3142
599,16694.4908180301,1.764,1.3145
600,16666.6666666667,1.77,1.3278
601,16638.9351081531,1.742,1.3123
602,16611.2956810631,1.715,1.2928
603,16583.7479270315,1.749,1.3205
604,16556.2913907285,1.779,1.3439
605,16528.9256198347,1.773,1.3418
606,16501.6501650165,1.758,1.3353
607,16474.4645799012,1.762,1.3434
608,16447.3684210526,1.751,1.3392
609,16420.3612479475,1.734,1.3292
610,16393.4426229508,1.724,1.3237
611,16366.612111293,1.712,1.317
612,16339.8692810458,1.736,1.337
613,16313.2137030995,1.71,1.3182
614,16286.6449511401,1.655,1.2783
615,16260.162601626,1.712,1.3254
616,16233.7662337662,1.664,1.2906
617,16207.4554294976,1.641,1.2744
618,16181.2297734628,1.702,1.3228
619,16155.0888529887,1.709,1.3292
620,16129.0322580645,1.711,1.3299
621,16103.0595813205,1.724,1.3359
622,16077.1704180064,1.6784,1.2882
623,16051.3643659711,1.682,1.2793
624,16025.641025641,1.667,1.2751
625,16000,1.644,1.2667
626,15974.4408945687,1.64,1.2655
627,15948.9633173844,1.693,1.3022
628,15923.5668789809,1.693,1.2328
629,15898.2511923688,1.687,1.2758
630,15873.0158730159,1.665,1.2589
631,15847.8605388273,1.659,1.2799
632,15822.7848101266,1.5901,1.2327
633,15797.7883096367,1.674,1.311
634,15772.8706624606,1.637,1.2907
635,15748.031496063,1.652,1.3065
636,15723.2704402516,1.6093,1.2768
637,15698.5871271586,1.661,1.3204
638,15673.9811912226,1.665,1.3292
639,15649.4522691706,1.653,1.3238
640,15625,1.613,1.2962
641,15600.624024961,1.61,1.297
642,15576.3239875389,1.609,1.2995
643,15552.099533437,1.625,1.313
644,15527.950310559,1.614,1.3074
645,15503.8759689923,1.627,1.317
646,15479.8761609907,1.591,1.2797
647,15455.9505409583,1.606,1.2744
648,15432.0987654321,1.602,1.2625
649,15408.3204930663,1.551,1.2234
650,15384.6153846154,1.526,1.2299
651,15360.9831029186,1.613,1.3071
652,15337.4233128834,1.591,1.2558
653,15313.9356814701,1.598,1.295
654,15290.5198776758,1.575,1.2807
655,15267.1755725191,1.523,1.222
656,15243.9024390244,1.3233,1.0727
657,15220.700152207,1.384,1.1218
658,15197.5683890578,1.539,1.254
659,15174.5068285281,1.542,1.2586
660,15151.5151515152,1.558,1.2668
661,15128.5930408472,1.566,1.2618
662,15105.7401812689,1.571,1.2518
663,15082.9562594268,1.563,1.2539
664,15060.2409638554,1.554,1.2647
665,15037.5939849624,1.567,1.2871
666,15015.015015015,1.555,1.286
667,14992.5037481259,1.5354,1.2767
668,14970.0598802395,1.5348,1.281
669,14947.6831091181,1.558,1.3032
670,14925.3731343284,1.534,1.2853
671,14903.129657228,1.529,1.2829
672,14880.9523809524,1.506,1.2651
673,14858.8410104012,1.517,1.276
674,14836.7952522255,1.513,1.2742
675,14814.8148148148,1.499,1.2639
676,14792.899408284,1.515,1.2786
